Lesson 1,Lesson 2,Lesson 3,Lesson 4,Lesson 5,Lesson 6,Lesson 7,Lesson 8,Lesson 9,Lesson 10
Good morning,Learn,11-26,27-40,Food/eat,Numbers 40-70?,Numbers 40-60,Numbers 60-80,Monday,Sentence
Good afternoon,New,Can,Start/begin,Drink,OK,Color,Week,Tuesday,Handshape
Hello,American,Cant,Which?,Cake,Maybe,Rainbow,Next week,Wednesday,Arrive
Nice to meet you,Sign,Practice,Grade,Chocolate,For,Red,Last week,Thursday,Stay
Name,Language,We/us,Freshman,Vanilla,Watch,Orange,"Every week, every 2 weeks 3 weeks etc",Friday,Move
Yes,Fingerspell,Our,Sophomore,Cookie,Pay attention/focus,Yellow,Month,Saturday,Wrong
No,Same/me too,Old,Junior,Pie,Today,Green,Next month,Sunday,Right
Wait,Different,How old?,Senior,Vegetables,Tomorrow,Blue,Last month,Summer,Mean (what do you mean?)
Help,When?,Birthday,Elementary school,Chicken,Yesterday,Purple,"Every month, every 2 months 3 months etc",Winter,Care
Bathroom,Why?,Correct,Middle school,Meat,Week,Pink,Year,Spring,Don’t care
Please,Ready,Incorrect,About,Potato,Weekend,Black,Next year,Fall /autumn,Late/not yet
Thank you,Talk,Leave - 2 signs,Want,Bread,Sorry,Brown,"Last year -every year, every 2 years 3 years etc",Season,Absent
Hot,All done/finished,Class,Need,Soda,But,White,Time,Weather,Last/final
Cold,Like,Favorite,Remember,Coffee,Study,Gray,Morning,Temperature,Kind/type
Warm,Don’t like,More,Forget,Water,Home,Read,Afternoon,Hot,Yell
Applause,Don’t know,Together- 2 signs,Family,Tea,Word,Write,Night,Cold,Laugh
Understand,Oh I see,Tell,Friend,Milk,Nice,Draw/art,Hours,Warm,Cry
Don’t understand,Student,Say,Mother,Fruit,Bad,Picture,Minutes,Rain,Fight/argue
I/me,Teach,Listen,Father,Apple,Awful,Clothes,Seconds,Snow,Try
My/mine,Teacher,City,Parent,Strawberry,Wow!,Wear/Use,Propose,Moon,Something/Someone
You,High school,Country,Guardian,Banana,Never,Shirt,Engage,Stars,Find
Your,College,State,Best friend,Pineapple,DO (activity),Coat,Marry,Sun,Search
How?,Number,Live,Sister,Cheese,Do-do (do what?),Tie,Divorce,Sky,Quiet
Who?,1-10,Visit,Brother,Salad,Slow,Pants,Wife,Silly,Loud
What?,Headphones,Bay Area,Sibling,Spaghetti,Fast,Dress,Husband,Crazy,Love - kissfist
Where?,Phone,San Francisco,Uncle,Taco,Walk,Shoes,partner/sweetheart,Cute,
She/he/they/it,Text,Oakland,Aunt,Sushi,Run,Socks,Love-marriage (spouse),Shy,
School,Call,Fremont,Cousin,Pizza,Stand,Hat,Step,Brave,
Now,See,Berkeley,Grandma,Cook,Jump,Glasses,In law,Smart,
Know,Look,Concord,Grandpa,Chef,Dance,Hair,Day,Important,
Future,Question,Voice off,Choose,Restaurant,Play,Stripes,Calendar,Strong,
Sing,Ask,Not,Job,,Game,Polka dots,Do you mind?,Weird/strange,
With,Answer,Think,Work,Dinner,Fun,Backpack,Join,Fancy,
Again,Person- people,That,Boy,Dessert,Boring/bored,Plaid,Date,Cool,
Emotion,Woman,Hard of hearing,Girl,Breakfast,Beautiful/pretty,Makeup,Relationship,Curious,
Feel,Man,Hear,Child,Lunch,Ugly,Purse,Flirt,Funny,
Fine,Non-binary,Deaf,Children,Prefer,,All,Fall in love,Awkward,
Wonderful/awesome,Paper,Hearing,Baby,Hungry,,Buy,Single,,
Sick,Pencil,,Adult,Thirsty,,Store,Break up,,
Tired - exhausted,Book,,Son,How many?,,Animal,,,
Happy,Table,,Daughter,Full (of food),,Dog,,,
Sad,Chair- sit,,Twin,Small (OO),,Cat,,,
Excited,Have - dont have,,,Medium (MM),,Bird,,,
Angry,From,,,Large (CHA),,Fish,,,
Worried,Go,,,,,Horse,,,
Silly,,,,,,Bunny,,,
,,,,,,Turtle,,,
,,,,,,Snake,,,
,,,,,,Pet,,,
,,,,,,Giraffe,,,
,,,,,,Elephant,,,
,,,,,,Frog,,,
,,,,,,Cow,,,
,,,,,,Bear,,,
,,,,,,Unicorn,,,
,,,,,,Dragon,,,
,,,,,,Voice,,,
,,,,,,Voice off,,,
